point_id,latitude,longitude,intersect_area_km2,area_weight,grid_row_north
P001,39.61335586211295,117.71151178918169,4.5988097306907605,0.003942249766403124,717
P002,39.61335586211295,117.8363384188627,17.53792905475377,0.015034085071598008,717
P003,39.54305709459761,117.67313019390582,30.84814124974173,0.026444033295001838,718
P004,39.54305709459761,117.797783933518,83.51768052077502,0.07159408103498592,718
P005,39.54305709459761,117.92243767313019,31.688906562852427,0.027164764756686523,718
P006,39.472758327077685,117.5103734439834,29.177696639163337,0.025012073665993034,719
P007,39.472758327077685,117.63485477178423,76.8894905102509,0.06591218027134214,719
P008,39.472758327077685,117.75933609958506,83.60004908759691,0.07166469005826112,719
P009,39.472758327077685,117.88381742738589,39.85910365254849,0.03416852430633066,719
P010,39.402459559553236,117.34806629834254,0.7168179787813451,0.0006144797621318112,720
P011,39.402459559553236,117.47237569060773,32.683778164132065,0.028017601157281996,720
P012,39.402459559553236,117.59668508287292,41.60766348503132,0.03566744685255914,720
P013,39.402459559553236,117.72099447513813,46.17456170294466,0.03958234102889451,720
P014,39.402459559553236,117.84530386740332,47.533479798541705,0.04074724996373835,720
P015,39.332160792024254,117.3103448275862,24.95038358918725,0.021388282976727457,721
P016,39.332160792024254,117.43448275862069,68.81586984864667,0.05899120918727514,721
P017,39.332160792024254,117.55862068965517,59.51847091158637,0.051021175431980544,721
P018,39.332160792024254,117.68275862068965,56.396791684691976,0.04834517013415723,721
P019,39.332160792024254,117.80689655172414,62.12239718565857,0.0532533460036798,721
P020,39.261862024490775,117.39669421487604,46.85727703560182,0.04016758688995414,722
P021,39.261862024490775,117.52066115702479,83.5023527576171,0.07158094157624173,722
P022,39.261862024490775,117.64462809917356,82.88664428039519,0.07105313617818367,722
P023,39.261862024490775,117.76859504132231,17.187883935568337,0.0147340149729962,722
P024,39.261862024490775,117.89256198347107,0.5814659381774222,0.0004984515762097001,722
P025,39.191563256952804,117.4828060522696,22.481471796131892,0.019271851223857252,723
P026,39.191563256952804,117.60660247592847,48.36759329483921,0.04146227927099317,723
P027,39.191563256952804,117.73039889958734,26.44177643062886,0.02266675358653574,723
